Route,Type,Image_Name,Lat,Long,Aanslag,Deuken en gaten,Scheefstand,Stickers/Graffiti,Verf/dekking,Working?
Benoordenhout,lichtmasten,Benoordenhout_410.png,52.10149997,4.475163119,B,,,,,FALSE
Benoordenhout,lichtmasten,Benoordenhout_411.png,52.10149997,4.444974793,,,,,B,FALSE
Benoordenhout,lichtmasten,Benoordenhout_441.png,52.21515007,4.423969143,,,,B,,FALSE
FirstSecondCyclingRoute,lichtmasten,FirstSecondCyclingRoute_800.png,52.05769283,4.421741907,,,,B,,FALSE
Benoordenhout,lichtmasten,Benoordenhout_412.png,52.10149997,4.414786467,,,,B,,FALSE
Benoordenhout,lichtmasten,Benoordenhout_381.png,52.17787404,4.410704987,,,,C,,FALSE
Benoordenhout,lichtmasten,Benoordenhout_409.png,52.10149997,4.405351445,,,B,,,FALSE
Benoordenhout,lichtmasten,Benoordenhout_440.png,52.18683206,4.398927274,,,,,B,FALSE
Benoordenhout,lichtmasten,Benoordenhout_408.png,52.10149997,4.384598141,,,,B,,FALSE
Benoordenhout,lichtmasten,Benoordenhout_380.png,52.15258564,4.381730411,,,,,B,FALSE
Benoordenhout,lichtmasten,Benoordenhout_439.png,52.15851405,4.373885405,,,,B,,FALSE
Benoordenhout,lichtmasten,Benoordenhout_413.png,52.10149997,4.354409815,,,,B,,FALSE
Benoordenhout,lichtmasten,Benoordenhout_378.png,52.12729724,4.352755835,,,,B,,FALSE
Benoordenhout,lichtmasten,Benoordenhout_437.png,52.13019604,4.348843536,B,,,,,FALSE
Benoordenhout,lichtmasten,Benoordenhout_943.png,52.08265948,4.347074445,B,,,,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_939.png,52.08225109,4.345766411,,,,,C,TRUE
Benoordenhout,lichtmasten,Benoordenhout_947.png,52.08694097,4.345685005,,,B,,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_934.png,52.08166053,4.34471353,B,,B,B,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_853.png,52.09001496,4.343686763,B,,,,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_961.png,52.08468296,4.342840401,B,,,B,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_848.png,52.09001496,4.342663404,,,,B,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_54.png,52.08442892,4.342271142,,,B,B,B,TRUE
Benoordenhout,lichtmasten,Benoordenhout_58.png,52.08442892,4.342271142,,,,B,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_930.png,52.08177575,4.342045798,,,B,B,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_156.png,52.07717722,4.342038684,B,,,,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_861.png,52.0908177,4.341815972,C,,,,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_865.png,52.0908177,4.341815972,,,,,B,TRUE
Benoordenhout,lichtmasten,Benoordenhout_845.png,52.09001496,4.341640045,,,,,B,TRUE
FirstSecondCyclingRoute,lichtmasten,FirstSecondCyclingRoute_595.png,52.09514608,4.341435146,C,,,,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_954.png,52.08641227,4.34136379,,,,B,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_949.png,52.08641227,4.34136379,,,,B,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_874.png,52.08811351,4.341320239,,,C,,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_960.png,52.08681842,4.340891952,,,,B,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_880.png,52.08811351,4.340824506,,,,B,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_857.png,52.09044169,4.340804793,B,,,B,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_846.png,52.09001496,4.340616686,,,,,C,TRUE
Benoordenhout,lichtmasten,Benoordenhout_916.png,52.08311774,4.340558698,,,B,B,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_879.png,52.08811351,4.340328773,B,,,,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_152.png,52.0800325,4.340243963,,,,B,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_62.png,52.08416514,4.340146517,B,,,B,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_65.png,52.08416514,4.340146517,,,,B,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_69.png,52.08416514,4.340146517,,,,B,B,TRUE
Benoordenhout,lichtmasten,Benoordenhout_909.png,52.08367973,4.339905194,B,,,B,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_912.png,52.08367973,4.339905194,,,,B,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_903.png,52.08387829,4.339698074,,,C,B,,TRUE
FirstSecondCyclingRoute,lichtmasten,FirstSecondCyclingRoute_590.png,52.09415512,4.339690094,,,B,,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_838.png,52.09001496,4.339593327,,,,,C,TRUE
Benoordenhout,lichtmasten,Benoordenhout_161.png,52.0795382,4.33913726,,,B,B,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_164.png,52.0795382,4.33913726,C,,,,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_169.png,52.0795382,4.33913726,,,,C,B,TRUE
Benoordenhout,lichtmasten,Benoordenhout_829.png,52.08960793,4.338569968,B,,,,B,TRUE
Benoordenhout,lichtmasten,Benoordenhout_836.png,52.08960793,4.338569968,,,,,C,TRUE
Benoordenhout,lichtmasten,Benoordenhout_146.png,52.08288778,4.338449242,,,,B,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_74.png,52.08405012,4.338309468,,,B,,B,TRUE
Benoordenhout,lichtmasten,Benoordenhout_898.png,52.08525954,4.338042088,,,,B,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_78.png,52.08440819,4.337897712,,,,B,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_885.png,52.08584245,4.337698378,,,,,B,TRUE
Benoordenhout,lichtmasten,Benoordenhout_826.png,52.08917175,4.337531392,C,,B,,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_81.png,52.08476626,4.337485956,,,B,,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_890.png,52.08615201,4.337356788,,,,B,B,TRUE
Benoordenhout,lichtmasten,Benoordenhout_894.png,52.08615201,4.337356788,B,,B,,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_144.png,52.08196711,4.336913975,B,,,,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_805.png,52.08867295,4.336529298,,,,,C,TRUE
Benoordenhout,lichtmasten,Benoordenhout_796.png,52.08817218,4.335574388,,,B,B,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_801.png,52.08817218,4.335574388,,,B,,B,TRUE
Bezuidenhout,lichtmasten,Bezuidenhout_7.jpg,52.0776188,4.3350774,,,,B,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_138.png,52.08260464,4.334866497,,,,B,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_784.png,52.08833003,4.334764421,,,C,,B,TRUE
Benoordenhout,lichtmasten,Benoordenhout_790.png,52.08833003,4.334764421,B,,B,B,,TRUE
Bezuidenhout,lichtmasten,Bezuidenhout_8.jpg,52.0774113,4.3343515,B,,,B,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_107.png,52.08745017,4.334279576,,,,B,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_126.png,52.08221621,4.3338828,,,,B,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_129.png,52.08221621,4.3338828,,,,B,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_100.png,52.08608969,4.333851042,,,C,B,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_102.png,52.08608969,4.333851042,,,,B,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_765.png,52.08908101,4.333710567,,,,B,B,TRUE
Benoordenhout,lichtmasten,Benoordenhout_771.png,52.08908101,4.333710567,,,B,,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_780.png,52.08908101,4.333710567,,,B,,B,TRUE
Benoordenhout,lichtmasten,Benoordenhout_89.png,52.08593563,4.333602479,,,C,B,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_731.png,52.08949361,4.333225956,,,,,C,TRUE
Benoordenhout,lichtmasten,Benoordenhout_84.png,52.08572757,4.333125048,B,,B,B,B,TRUE
Bezuidenhout,lichtmasten,Bezuidenhout_9.jpg,52.0774869,4.3330721,,,,B,B,TRUE
Benoordenhout,lichtmasten,Benoordenhout_110.png,52.08658188,4.33296272,B,,,,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_122.png,52.08173717,4.332846705,,,B,C,,TRUE
Bezuidenhout,lichtmasten,Bezuidenhout_10.jpg,52.0777156,4.3328281,,,,,B,TRUE
Bezuidenhout,lichtmasten,Bezuidenhout_11.jpg,52.0777156,4.3328281,B,,,,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_728.png,52.08990523,4.332747925,,,,,B,TRUE
Benoordenhout,lichtmasten,Benoordenhout_739.png,52.08990982,4.332744145,,,,,B,TRUE
Benoordenhout,lichtmasten,Benoordenhout_744.png,52.08990982,4.332744145,,,,,C,TRUE
Bezuidenhout,lichtmasten,Bezuidenhout_12.jpg,52.0779087,4.332606,,,,B,B,TRUE
Benoordenhout,lichtmasten,Benoordenhout_724.png,52.09031685,4.332269894,,,,,B,TRUE
Bezuidenhout,lichtmasten,Bezuidenhout_6.jpg,52.0763142,4.3322148,B,,,B,,TRUE
Bezuidenhout,lichtmasten,Bezuidenhout_13.jpg,52.0779762,4.3320881,,,,B,B,TRUE
Benoordenhout,lichtmasten,Benoordenhout_114.png,52.08631845,4.332077453,,,,B,B,TRUE
Benoordenhout,lichtmasten,Benoordenhout_718.png,52.09072847,4.331791863,,,,B,,TRUE
FirstSecondCyclingRoute,lichtmasten,FirstSecondCyclingRoute_584.png,52.09140499,4.331612105,,,B,,,TRUE
Bezuidenhout,lichtmasten,Bezuidenhout_17.jpg,52.0778069,4.3314119,,,,B,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_178.png,52.08179109,4.331342756,,,,B,B,TRUE
FirstSecondCyclingRoute,lichtmasten,FirstSecondCyclingRoute_648.png,52.07683821,4.331044253,,,B,,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_182.png,52.08165835,4.330931863,B,,,,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_712.png,52.09158291,4.330796351,,,,B,B,TRUE
FirstSecondCyclingRoute,lichtmasten,FirstSecondCyclingRoute_631.png,52.07728409,4.330532138,,,,B,,TRUE
Bezuidenhout,lichtmasten,Bezuidenhout_16.jpg,52.0772912,4.3304975,,,,,B,TRUE
FirstSecondCyclingRoute,lichtmasten,FirstSecondCyclingRoute_659.png,52.07585175,4.330186695,,,,D,,TRUE
FirstSecondCyclingRoute,lichtmasten,FirstSecondCyclingRoute_627.png,52.07749609,4.330104715,,,,B,,TRUE
Benoordenhout,lichtmasten,Benoordenhout_40.png,52.10430328,4.329864969,,,B,,,TRUE
Bezuidenhout,lichtmasten,Bezuidenhout_18.jpg,52.0781013,4.3297925,,,B,B,,TRUE
